70, -0.093033336103, 0.0, 0.00953248608857, 49, 4900, 0
80, -0.0676666498184, 8.33372250781e-05, 0.00650196475908, 22, 6379, 21
90, -0.0914833024144, 6.66876658215e-05, 0.00712910713628, 190, 8036, 64
100, -0.0559833236039, 0.000266671180725, 0.00434728618711, 223, 9885, 115
110, -0.0476000122726, 3.33189964294e-05, 0.00402192724869, 175, 12044, 56
120, -0.0244333446026, 0.000233332320931, 0.00281927408651, 477, 13931, 469
130, -0.0293999910355, 0.000250001758104, 0.00270118727349, 248, 16542, 358
140, -0.0311666727066, 0.000383337348467, 0.00243306532502, 444, 18823, 777
150, -0.0219166576862, 0.000366677850252, 0.00226117460988, 292, 21415, 1085
160, -0.0212666597217, 0.000366677850252, 0.00191736989655, 675, 24700, 900
170, -0.0180166661739, 0.000266671180725, 0.00165080709849, 462, 28307, 593
180, -0.013483335264, 0.000216672822717, 0.00136102770921, 969, 30394, 2006
190, -0.0141333239153, 0.000366667896742, 0.00124693149701, 602, 34682, 1418
200, -0.0130166811869, 0.00016666452575, 0.00107974139974, 1033, 39163, 837
210, -0.0143166584894, 0.000500003516208, 0.00104158907197, 753, 39946, 4154
220, -0.0105833308771, 0.000233342245338, 0.00088712136494, 966, 47030, 1370
230, -0.0129499929026, 0.000366657972336, 0.00104347837623, 1894, 46404, 6496
240, -0.00710000609979, 0.000399996846681, 0.000708218023647, 1348, 52689, 4911
250, -0.0148166818544, 0.000216662883759, 0.00096207857132, 1542, 58469, 4031
260, -0.00873333215714, 0.000199993446586, 0.000570230768062, 1754, 64602, 2998
270, -0.00523332739249, 0.000200013324502, 0.000558139116038, 2427, 68346, 4554
280, -0.0083666741848, 0.000283340603346, 0.000612807169091, 2518, 73727, 4673
290, -0.00576665019616, 0.000266681105131, 0.000517169595696, 2841, 78157, 5943
300, -0.00601666187868, 0.000350008398527, 0.000483160663862, 3086, 83871, 6129
310, -0.00866666436195, 0.000199993446586, 0.000521543843206, 3992, 90578, 5522
320, -0.00401666760445, 0.000283340603346, 0.000352058181306, 3583, 93060, 9340
330, -0.00523333763704, 0.000233342245338, 0.000381480669603, 3257, 103032, 5868
340, -0.00356666254811, 0.000183333948371, 0.000305706984363, 4839, 111150, 4450
350, -0.00493334745988, 0.000233332320931, 0.000432053784607, 2753, 117041, 5459
360, -0.00436664605513, 0.000366687774658, 0.000369666668121, 6664, 102898, 26702
370, -0.00325000286102, 0.000250001758104, 0.000326331733959, 3987, 128436, 8464
380, -0.00473334407434, 0.000266671180725, 0.000373503775336, 8700, 124822, 19578
390, -0.00533333420753, 0.0003333290515, 0.000336155208061, 6716, 130729, 21371
